# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=40, N=50, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

r(fm),Vll(MeV),Vlp(MeV),Vln(MeV),VNp(MeV),VNn(MeV),Vcoul(MeV)
0.0,-30.70759681466643,0.0,0.0,-68.42665733660134,-59.009240701119765,16.56663668822411
0.05,-30.66439960136004,0.0,0.0,-68.19846863000859,-58.80937369032326,16.566087127993768
0.1,-30.698057853512303,0.0,0.0,-68.12728928392447,-58.765544200982355,16.56443859184348
0.15000000000000002,-30.69702405104512,0.0,0.0,-68.02627413612008,-58.6565731124449,16.56169141703496
0.2,-30.70205443003891,0.0,0.0,-67.88171370108617,-58.50778987868531,16.557846168530713
0.25,-30.70812131648676,0.0,0.0,-67.69921743811626,-58.31937551389345,16.552903630027497
0.30000000000000004,-30.715468406332143,0.0,0.0,-67.48071268509503,-58.0934764891101,16.546864795986686
0.35000000000000003,-30.72407068036454,0.0,0.0,-67.22873209017324,-57.83260846337091,16.539730862406476
0.4,-30.733880536886872,0.0,0.0,-66.94616158790323,-57.53964506214788,16.53150321640943
0.45,-30.744835267229135,0.0,0.0,-66.63616596810134,-57.217773612887044,16.522183425001796
0.5,-30.756856764570017,0.0,0.0,-66.3021290794773,-56.87044689154284,16.511773223406138
0.55,-30.769850756350703,0.0,0.0,-65.94759452063204,-56.50133260029215,16.500274503355833
0.6000000000000001,-30.783706537854847,0.0,0.0,-65.57620774085127,-56.11426185427428,16.487689301701
0.65,-30.79829741798055,0.0,0.0,-65.19166083505641,-55.71317779241113,16.474019789616012
0.7000000000000001,-30.813481960835666,0.0,0.0,-64.79764116840883,-55.302085356832805,16.4592682626229
0.75,-30.82910604295579,0.0,0.0,-64.39778468123198,-54.88500315027172,16.443437131557868
0.8,-30.845005693911816,0.0,0.0,-63.9956344238064,-54.46591811496406,16.426528914513995
0.8500000000000001,-30.861010640613507,0.0,0.0,-63.594604584062544,-54.04874359248306,16.408546229697425
0.9,-30.87694843340724,0.0,0.0,-63.19795001648393,-53.637281132595355,16.38949178904109
0.9500000000000001,-30.892648997141038,0.0,0.0,-62.80874106753381,-53.2351862332821,16.369368392333563
1.0,-30.90794942377309,0.0,0.0,-62.42984332588555,-52.84593802165888,16.34817892154445
1.05,-30.922698805912567,0.0,0.0,-62.06390180545806,-52.47281273588028,16.325926334964752
1.1,-30.93676290295972,0.0,0.0,-61.71332899342457,-52.118860746030876,16.302613660732632
1.1500000000000001,-30.95002843303623,0.0,0.0,-61.38029615944468,-51.78688676159438,16.27824398928386
1.2000000000000002,-30.962406793629413,0.0,0.0,-61.066727319822846,-51.47943281487206,16.252820464252704
1.25,-30.973837031615616,0.0,0.0,-60.77429527727682,-51.1987635852603,16.22634627135321
1.3,-30.98428790711184,0.0,0.0,-60.50441920463914,-50.94685363487866,16.198824624793005
1.35,-30.993758925605867,0.0,0.0,-60.25826330765886,-50.72537616183444,16.170258750811147
1.4000000000000001,-31.00228024702389,0.0,0.0,-60.036736180158556,-50.53569293784648,16.14065186798803
1.4500000000000002,-31.009911419211083,0.0,0.0,-59.84049055445489,-50.37884518128535,16.11000716404688
1.5,-31.01673892495213,0.0,0.0,-59.66992324534903,-50.25554521847378,16.078327768953276
1.55,-31.022872576279248,0.0,0.0,-59.525175187465074,-50.166168903430865,16.04561672421875
1.6,-31.02844083611549,0.0,0.0,-59.406131570252235,-50.11074889318091,16.01187694842599
1.6500000000000001,-31.033585194413916,0.0,0.0,-59.31242218105188,-50.08896900772022,15.977111199114834
1.7000000000000002,-31.038453772267317,0.0,0.0,-59.24342217128165,-50.10016003423069,15.941322031297398
1.75,-31.04319437155624,0.0,0.0,-59.19825356208283,-50.14329745833456,15.90451175300586
1.8,-31.047947226631596,0.0,0.0,-59.17578789759723,-50.217001711841476,15.866682378414184
1.85,-31.052837746023293,0.0,0.0,-59.174650532513205,-50.3195416092697,15.827835579212783
1.9000000000000001,-31.057969552966483,0.0,0.0,-59.19322709892622,-50.448841694924404,15.787972635049167
1.9500000000000002,-31.06341814009203,0.0,0.0,-59.2296727277427,-50.60249422875299,15.747094383974279
2.0,-31.069225443444022,0.0,0.0,-59.281924596235385,-50.77777649571692,15.705201173949222
2.0500000000000003,-31.07539561126285,0.0,0.0,-59.34771832815934,-50.971674022747365,15.662292816566326
2.1,-31.081892192331836,0.0,0.0,-59.42460868111845,-51.18091012597142,15.618368544217264
2.15,-31.088636897701267,0.0,0.0,-59.50999481645434,-51.401981990646924,15.573426971995508
2.2,-31.09551000011089,0.0,0.0,-59.60115026047048,-51.6312032123251,15.527466065645852
2.25,-31.102352331752652,0.0,0.0,-59.69525743883635,-51.86475241156127,15.48048311686812
2.3000000000000003,-31.108968729903374,0.0,0.0,-59.78944640987336,-52.09872719473033,15.432474727241466
2.35,-31.11513266980765,0.0,0.0,-59.88083715374366,-52.32920239210677,15.383436801959547
2.4000000000000004,-31.12059172411214,0.0,0.0,-59.96658451085376,-52.55229118667985,15.333364554454963
2.45,-31.125073409260665,0.0,0.0,-60.043924629638695,-52.76420748310441,15.28225252284449
2.5,-31.128290929361775,0.0,0.0,-60.11022159871156,-52.96132767823864,15.230094598949082
2.5500000000000003,-31.129948315586645,0.0,0.0,-60.163012824224545,-53.14024990698402,15.176884070437323
2.6,-31.129744487045443,0.0,0.0,-60.20005168034137,-53.29784886042228,15.122613676415684
2.6500000000000004,-31.127375828061368,0.0,0.0,-60.2193460175171,-53.43132441258333,15.067275676549583
2.7,-31.12253698246764,0.0,0.0,-60.219191257225106,-53.53824253992648,15.010861933554677
2.75,-31.11491969915533,0.0,0.0,-60.19819702019378,-53.61656735460515,14.953364008656886
2.8000000000000003,-31.10420971418894,0.0,0.0,-60.15530651314284,-53.664683474877364,14.894773269390365
2.85,-31.09008180886765,0.0,0.0,-60.08980820966354,-53.68140838859763,14.835081008894019
2.9000000000000004,-31.072193327281177,0.0,0.0,-60.00133968097754,-53.66599489678967,14.77427857568561
2.95,-31.050176558345775,0.0,0.0,-59.889883735952985,-53.61812412051212,14.712357512744388
3.0,-31.02363047635037,0.0,0.0,-59.75575729572703,-53.53788988937415,14.649309704621977
3.0500000000000003,-30.99211238477048,0.0,0.0,-59.599593641889626,-53.4257755852914,14.585127531229215
3.1,-30.955130018490564,0.0,0.0,-59.42231882903563,-53.28262468091263,14.519804026913501
3.1500000000000004,-30.912134631749097,0.0,0.0,-59.22512314139223,-53.109606287678076,14.45333304344476
3.2,-30.862515538727294,0.0,0.0,-59.00942850338265,-52.90817702183137,14.385709415564373
3.25,-30.80559648828242,0.0,0.0,-58.776852733288784,-52.68004041976586,14.316929127814701
3.3000000000000003,-30.740634153695066,0.0,0.0,-58.529171470319795,-52.427105005582405,14.246989481450226
3.35,-30.666818910775913,0.0,0.0,-58.2682785178848,-52.15144194869541,14.175889260327395
3.4000000000000004,-30.583277972741804,0.0,0.0,-57.99614524392856,-51.855243067757804,14.103628894770596
3.45,-30.48908085370254,0.0,0.0,-57.71477956992573,-51.54077975085865,14.03021062250875
3.5,-30.383247049518705,0.0,0.0,-57.42618497207526,-51.2103631836556,13.955638645862887
3.5500000000000003,-30.264755757849212,0.0,0.0,-57.13231981766807,-50.866306114907935,13.879919284433093
3.6,-30.132557408177178,0.0,0.0,-56.835057267927716,-50.510886246387116,13.803061122577617
3.6500000000000004,-29.985586736720293,0.0,0.0,-56.536145900267684,-50.14631121488319,13.725075150992982
3.7,-29.822777117448013,0.0,0.0,-56.23717113833552,-49.774685038262795,13.645974901688582
3.75,-29.643075845185354,0.0,0.0,-55.93951752822007,-49.39797582404783,13.565776575600477
3.8000000000000003,-29.445460056724542,0.0,0.0,-55.6443318666527,-49.017984488890896,13.484499162006962
3.85,-29.22895296670464,0.0,0.0,-55.35248717208846,-48.63631420856997,13.40216454879402
3.9000000000000004,-28.992640084113063,0.0,0.0,-55.06454749535627,-48.25434031262101,13.3187976224749
3.95,-28.73568506049604,0.0,0.0,-54.78073359612482,-47.873180356459315,13.234426356699386
4.0,-28.457344801284357,0.0,0.0,-54.5008895665579,-47.493664149096396,13.149081887800948
4.05,-28.156983448305304,0.0,0.0,-54.22445056938599,-47.11630359058802,13.062798575731216
4.1000000000000005,-27.834084816618606,0.0,0.0,-53.95041197576822,-46.74126228351237,12.975614048531249
4.15,-27.488262847062714,0.0,0.0,-53.67730034313447,-46.3683250325158,12.887569228298085
4.2,-27.11926962323603,0.0,0.0,-53.40314686599245,-45.996867539091326,12.798708336436208
4.25,-26.72700050638248,0.0,0.0,-53.12546416574651,-45.62582684019285,12.709078875850382
4.3,-26.31149597247292,0.0,0.0,-52.841227556346304,-45.253673330058206,12.618731587654704
4.3500000000000005,-25.872939803379893,0.0,0.0,-52.54686222987026,-44.87838554635965,12.527720379957831
4.4,-25.41165339756488,0.0,0.0,-52.23823814023013,-44.4974292895188,12.4361022263534
4.45,-24.92808613355811,0.0,0.0,-51.91067471223338,-44.10774306846898,12.343937031913027
4.5,-24.42280194703919,0.0,0.0,-51.55895784770074,-43.70573231200905,12.251287464762052
4.55,-23.896462568657647,0.0,0.0,-51.177372009907735,-43.28727522369304,12.158218751727274
4.6000000000000005,-23.34980820825608,0.0,0.0,-50.75975040558791,-42.84774355454912,12.06479843709018
4.65,-22.783636844015856,0.0,0.0,-50.29954639729461,-42.382041867454,11.97109610416124
4.7,-22.198783654890956,0.0,0.0,-49.78992920792592,-41.8846690052298,11.87718306020839
4.75,-21.596102480829227,0.0,0.0,-49.223906649705036,-41.34980536852725,11.783131986213062
4.800000000000001,-20.976451456594607,0.0,0.0,-48.59447694345044,-40.77142916781982,11.689016553970468
4.8500000000000005,-20.340685080763635,0.0,0.0,-47.89481060993723,-40.14346393744137,11.594911014165296
4.9,-19.689654887481677,0.0,0.0,-47.118461843570586,-39.459958196808465,11.500889760199117
4.95,-19.02422052457368,0.0,0.0,-46.25960667401047,-38.71529614513011,11.407026873670034
5.0,-18.34527236223214,0.0,0.0,-45.31330258260523,-37.904435656625694,11.313395658450082
5.050000000000001,-17.653765745694432,0.0,0.0,-44.2757611382366,-37.02316665496532,11.22006817120718
5.1000000000000005,-16.950765691158217,0.0,0.0,-43.14462182095114,-36.06837934678964,11.127114756910588
5.15,-16.2374992942363,0.0,0.0,-41.919211809388564,-35.038328081706226,11.034603598280544
5.2,-15.515411531061652,0.0,0.0,-40.600773559581526,-33.93287323266761,10.942600288240738
5.25,-14.786218707626086,0.0,0.0,-39.19264006881151,-32.753681050347765,10.851167434170119
5.300000000000001,-14.051952824945946,0.0,0.0,-37.70033744175464,-31.504360615301422,10.760364302110743
5.3500000000000005,-13.314989853682924,0.0,0.0,-36.13159635784089,-30.19051843313037,10.6702465080795
5.4,-12.57805557267605,0.0,0.0,-34.49625867326935,-28.819715327736148,10.580865762288736
5.45,-11.844204313403942,0.0,0.0,-32.80607268465322,-27.401317133476873,10.492269670466015
5.5,-11.116768570608764,0.0,0.0,-31.074380013555146,-25.946239785194923,10.404501594661896
5.550000000000001,-10.3992806818852,0.0,0.0,-29.315707566426333,-24.466599710736563,10.317600574048694
5.6000000000000005,-9.69537116396929,0.0,0.0,-27.545288082666783,-22.97529046561318,10.231601304352745
5.65,-9.008651254995817,0.0,0.0,-25.778540765802074,-21.485514685289424,10.14653417283556
5.7,-8.342589229437031,0.0,0.0,-24.030547996564813,-20.01030525942267,10.062425344239811
5.75,-7.700390776646723,0.0,0.0,-22.315564334467663,-18.56207031368671,9.979296891918656
5.800000000000001,-7.084893071400857,0.0,0.0,-20.646589903987703,-17.15219305493517,9.897166967516316
5.8500000000000005,-6.498480291362814,0.0,0.0,-19.035032603057765,-15.790710509219739,9.816050002081235
5.9,-5.943025640131716,0.0,0.0,-17.49047372205671,-14.486085954045276,9.735956931357743
5.95,-5.419861910055382,0.0,0.0,-16.0205411266524,-13.245079962486889,9.656895438181092
6.0,-4.9297797495360385,0.0,0.0,-14.630884635085028,-12.072715887674278,9.578870205341058
6.050000000000001,-4.47305046151132,0.0,0.0,-13.325240722561617,-10.97232840602567,9.501883172916127
6.1000000000000005,-4.049468570364032,0.0,0.0,-12.105568801872291,-9.94567898888261,9.425933794848113
6.15,-3.658408606503238,0.0,0.0,-10.972239131653001,-8.99311996844774,9.351019290362869
6.2,-3.2988904903478593,0.0,0.0,-9.924252556201639,-8.11378889572419,9.277134886691579
6.25,-2.969648385463334,0.0,0.0,-8.95947420327595,-7.3058166092830215,9.204274050365909
6.300000000000001,-2.6691987364389584,0.0,0.0,-8.074866296405817,-6.566535216811439,9.132428705115727
6.3500000000000005,-2.395904221721799,0.0,0.0,-7.26670875842014,-5.892675450554703,9.061589435070163
6.4,-2.148031380861349,0.0,0.0,-6.530799798433999,-5.280546123089005,8.991745672539787
6.45,-1.9238006113817219,0.0,0.0,-5.862631844452231,-4.726191357359827,8.92288587013682
6.5,-1.7214280102365962,0.0,0.0,-5.257540815273897,-4.225523711394805,8.854997657374872
6.550000000000001,-1.5391591341768045,0.0,0.0,-4.710828748290299,-3.7744331965837725,8.788067982186439
6.6000000000000005,-1.3752951756288043,0.0,0.0,-4.2178612312614145,-3.3688735148192595,8.722083238015655
6.65,-1.22821231631684,0.0,0.0,-3.774141997255367,-3.0049276808633287,8.657029377296142
6.7,-1.0963751587527495,0.0,0.0,-3.375367529349255,-2.678855642980976,8.592892012220295
