# Nuclear Parameter=VB1
# Lambda Parameter=HPL2
# Z=40, N=50, Λ=0
# Number of mesh=600
# rmax=30
# Matching point of shooting = 7.45

Baryon Type, occ, j, l, Energy(MeV)
proton, 1.0, 0.5, 0, -36.940887451171875
proton, 1.0, 1.5, 1, -30.858489990234375
proton, 1.0, 0.5, 1, -29.371505737304688
proton, 1.0, 2.5, 2, -23.689254760742188
proton, 1.0, 1.5, 2, -20.192123413085938
proton, 1.0, 0.5, 0, -18.625808715820312
proton, 1.0, 3.5, 3, -15.611679077148438
proton, 1.0, 2.5, 3, -9.569374084472656
proton, 1.0, 1.5, 1, -8.484794616699219
proton, 0.2, 4.5, 4, -6.726490020751953
proton, 0.0, 0.5, 1, -6.725620269775391
neutron, 1.0, 0.5, 0, -44.771514892578125
neutron, 1.0, 1.5, 1, -37.969757080078125
neutron, 1.0, 0.5, 1, -36.873138427734375
neutron, 1.0, 2.5, 2, -30.152236938476562
neutron, 1.0, 1.5, 2, -27.350936889648438
neutron, 1.0, 0.5, 0, -25.733413696289062
neutron, 1.0, 3.5, 3, -21.656753540039062
neutron, 1.0, 2.5, 3, -16.396041870117188
neutron, 1.0, 1.5, 1, -15.871109008789062
neutron, 1.0, 0.5, 1, -13.837837219238281
neutron, 1.0, 4.5, 4, -12.621299743652344
neutron, 0.0, 2.5, 2, -6.173709869384766
neutron, 0.0, 3.5, 4, -4.601123809814453
neutron, 0.0, 0.5, 0, -4.181827545166016
neutron, 0.0, 1.5, 2, -3.5181751251220703
neutron, 0.0, 5.5, 5, -3.0604610443115234
lambda, 0.0, 0.5, 0, -24.589218139648438
lambda, 0.0, 0.5, 1, -18.212631225585938
lambda, 0.0, 1.5, 1, -18.212631225585938
lambda, 0.0, 1.5, 2, -10.833000183105469
lambda, 0.0, 2.5, 2, -10.833000183105469
lambda, 0.0, 0.5, 0, -8.466056823730469
lambda, 0.0, 2.5, 3, -2.961130142211914
lambda, 0.0, 3.5, 3, -2.961130142211914
lambda, 0.0, 0.5, 1, -0.871070384979248
lambda, 0.0, 1.5, 1, -0.871070384979248
